,Unnamed: 0,text,sentiment
0,0,id respond go,neutral
1,1,soon sad miss san diego,negative
2,2,boss build me,negative
3,3,interview leav alon,negative
4,4,son bad bad bad bad couldnt put releas alreadi bought,negative
5,5,httpwwwdothebouncycomof shameless plug best ranger forum earth,neutral
6,6,feel babi fun smile cook,positive
7,7,soon high,neutral
8,8,you,neutral
9,9,journey u becam cooper possibl,positive
10,10,much love hope reckon chanc minim p im never donna get cake stuff,neutral
11,11,realli realli like song love stori taylor swift,positive
12,12,charpi run danger low ink,negative
13,13,want go music tonight lost voic,negative
14,14,test test envi,neutral
15,15,oh sunburn,negative
16,16,sok tri plot altern speak badsigh bad,negative
17,17,ive sick past day thus hair look wire hat would look httptinyurlcommnfkw,negative
18,18,back home donna miss everi one,negative
19,19,not you,neutral
20,20,oh mari im sorri hope find soon,neutral
21,21,play ghost onlin realli interest new updat kiril pet metamorph third job cant wait dragon pet,positive
22,22,clean hous famili come later today,neutral
23,23,go start comput thought wine suppos put end constant rebooti,neutral
24,24,see wat mean bout follow friday call lose follow friday s,neutral
25,25,free fill pp upon fun addict,positive
26,26,im sorri,negative
27,27,way malashano internet access wit,negative
28,28,came back berkeley org made fun minut whassqoodd,positive
29,29,went sleep power cut nois power back not work too,negative
30,30,im go home seen new twitter design quiteheaven bad bad bad bad,positive
31,31,hope unna make addit fight dahe unna,positive
32,32,consol got mi test havana say obey well much unhappi minut,negative
33,33,that funni cut kiss,positive
34,34,ah slept game im donna tri best watch tomorrow though hope play armi,neutral
35,35,end tear fear vs eric pride hero httpbitlyhpbg,neutral
36,36,born rais ny live texa past year still miss ny,negative
37,37,case wonder realli busi today come ad ton new blow updat stay tune,neutral
38,38,im soooooo sleeeeepi last day school todaysnaffl,negative
39,39,littl happi wine ok free time care papa love day,positive
40,40,car not happi big big went boot hope not go write cross finger wait,neutral
41,41,aid fan bad bad bad bad magazin love magazin,positive
42,42,madam,neutral
43,43,rate rock nashvill toneon thing suck no entir like still fun show perci hot bad boy look,neutral
